Количество модулей;1 модуль;1 модуль;1 модуль;1 модуль;2 модуля;2 модуля;2 модуля;2 модуля;2 модуля;3 модуля;3 модуля;3 модуля;3 модуля;3 модуля
Вылет\Ширина (м);3.0;3.5;4.0;4.5;6.0;7.0;8.0;9.0;10.0;9.0;10.5;12.0;13.5;15.0
2,45;6878;7451;8023;8596;13183;14329;15473;16619;17763;19488;21207;22923;24642;26358
2.85;7529;8174;8820;9466;14485;15775;17067;18359;19649;21441;23376;25314;27252;29187
3.25;8179;8898;9617;10336;15785;17223;18661;20099;21537;23391;25548;27705;29862;32019
3.65;8830;9622;10414;11206;17087;18671;20255;21839;23423;25344;27720;30096;32472;34848
4.05;9480;10345;11211;12076;18387;20117;21849;23579;25311;27294;29889;32487;35082;37680
4.45;10130;11069;12008;12946;19687;21565;23443;25319;27197;29244;32061;34878;37692;40509
4.85;10781;11793;12805;13817;20989;23013;25037;27061;29083;31197;34233;37269;40305;43338
5.25;11431;12516;13601;14687;22289;24459;26629;28801;30971;33147;36402;39657;42915;46170
5.65;12082;13240;14398;15557;23591;25907;28223;30541;32857;35100;38574;42048;45525;48999
6.05;12732;13964;15195;16427;24891;27355;29817;32281;34745;37050;40746;44439;48135;51831
6.45;13382;14687;15992;17297;26191;28801;31411;34021;36631;39000;42915;46830;50745;54660
6.85;14033;15411;16789;18167;27493;30249;33005;35761;38517;40953;45087;49221;53355;57660
7.25;15276;16728;18179;19630;29979;32883;35785;38687;41591;44682;45038;53391;57744;62100