Количество модулей;1 модуль;1 модуль;1 модуль;1 модуль;1 модуль;2 модуля;2 модуля;2 модуля;2 модуля;3 модуля;3 модуля;3 модуля
Вылет\Ширина (м);2.5;3.0;3.5;4.0;4.5;6.0;7.0;8.0;9.0;10.5;12.0;13.5
2.5;4500;4866;5232;5599;5965;9159;9891;10625;11357;14550;15651;16749
3.0;4678;5045;5411;5777;6144;9517;10249;10981;11715;15087;15185;17286
3.5;5230;5659;6087;6516;6945;10745;11601;12459;13317;17115;18402;19689
4.0;5409;5837;6266;6695;7124;11101;11959;12817;13675;17652;18939;20226
4.5;5960;6451;6942;7434;7925;12329;13311;14295;15277;19680;21156;23166
5.0;6139;6630;7121;7613;8104;12687;13669;14653;15535;20217;21693;25569
5.5;6690;7244;7798;8351;8905;13915;15023;16129;17237;22248;23907;26106
6.0;6869;7423;7976;8530;9084;14273;15379;16487;17595;22782;24444;28509
6.5;7420;8036;8653;9269;9885;15499;16733;17965;19197;24813;26661;30741
7.0;8164;8780;9397;10013;10629;16987;18221;19453;20685;27045;28893;33147
7.5;8715;9394;10073;10752;11431;18215;19573;20931;22289;29073;31110;36843
8.0;8894;9573;10252;10931;11609;18573;19931;21289;22645;29610;31647;33681